NEIGHBORHOOD,GENDER,POPULATION
Triveni,male,11618
Bhume,female,10163
Bhume,male,8478
Dhorpatan Hunting Reserve,female,0
Dhorpatan Hunting Reserve,male,0
Putha Uttarganga,female,9424
Putha Uttarganga,male,8575
Sisne,female,8617
Sisne,male,7927
Butwal Sub-Metropolitan City,female,70912
Butwal Sub-Metropolitan City,male,70350
Devdaha,female,28759
Devdaha,male,24877
Gaidahawa,female,23835
Gaidahawa,male,23789
Kanchan,female,18211
Kanchan,male,14871
Kotahimai,female,19932
Kotahimai,male,21074
Lumbini Sanskritik Development Area,female,0
Lumbini Sanskritik Development Area,male,0
Lumbini Sanskritik,female,36361
Lumbini Sanskritik,male,36286
Marchawari,female,18738
Marchawari,male,20045
Mayadevi,female,23379
Mayadevi,male,23795
Omsatiya,female,17352
Omsatiya,male,16874
Rohini,female,18532
Rohini,male,18685
Sainamaina,female,30356
Sainamaina,male,26721
Sammarimai,female,18770
Sammarimai,male,19543
Shuddhodan,female,17986
Shuddhodan,male,16652
Siddharthanagar,female,31895
Siddharthanagar,male,32671
Siyari,female,19919
Siyari,male,18588
Tilottama,female,53066
Tilottama,male,47372
Bagchaur,female,17593
Bagchaur,male,16550
Bangad Kupinde,female,18670
Bangad Kupinde,male,17465
Chhatreshwori,female,11690
Chhatreshwori,male,9762
Darma,female,10220
Darma,male,9746
Kalimati,female,11705
Kalimati,male,11300
Kapurkot,female,9486
Kapurkot,male,8787
Kumakh,female,13044
Kumakh,male,11944
Sharada,female,18080
Sharada,male,16162
Siddhakumakh,female,7089
Siddhakumakh,male,6504
Triveni,female,8898
Triveni,male,7749
Bhotkhola,female,3372
Bhotkhola,male,3204
Chainpur,female,14638
Chainpur,male,12824
Chichila,female,3655
Chichila,male,3410
Dharmadevi,female,9843
Dharmadevi,male,8392
Khandbari,female,16478
Khandbari,male,15056
Madi,female,7848
Madi,male,6625
Makalu,female,6782
Makalu,male,6790
Panchkhapan,female,9378
Panchkhapan,male,8143
Sabhapokhari,female,5463
Sabhapokhari,male,5029
Silichong,female,6060
Silichong,male,5752
Agnisair Krishna Savaran,female,14283
Agnisair Krishna Savaran,male,12846
Balan Bihul,female,11023
Balan Bihul,male,10819
Bishnupur_saptari,female,11600
Bishnupur_saptari,male,11566
Bode Barsain,female,21910
Bode Barsain,male,21383
Chhinnamasta,female,14191
Chhinnamasta,male,14246
Dakneshwori,female,22068
Dakneshwori,male,20765
Hanumannagar Kankalini,female,23014
Hanumannagar Kankalini,male,22826
Kanchanrup,female,27337
Kanchanrup,male,26029
Khadak,female,24060
Khadak,male,21368
Koshi Tappu Wildlife Reserve,female,0
Koshi Tappu Wildlife Reserve,male,0
Mahadeva,female,14327
Mahadeva,male,14215
Rajbiraj,female,33447
Rajbiraj,male,35452
Rajgadh,female,14972
Rajgadh,male,14526
Rupani,female,13570
Rupani,male,12920
Saptakoshi,female,11116
Saptakoshi,male,10121
Shambhunath,female,18437
Shambhunath,male,16785
Surunga,female,23435
Surunga,male,20787
Tilathi Koiladi,female,15551
Tilathi Koiladi,male,16252
Tirahut,female,11097
Tirahut,male,10940
Bagmati_sarlahi,female,20806
Bagmati_sarlahi,male,19593
Balara,female,21547
Balara,male,23647
Barahathawa,female,34616
Barahathawa,male,35206
Basbariya,female,11375
Basbariya,male,12193
Bishnu,female,11887
Bishnu,male,12861
Bramhapuri,female,14551
Bramhapuri,male,15281
Chakraghatta,female,13646
Chakraghatta,male,14306
Chandranagar,female,16334
Chandranagar,male,17011
Dhankaul,female,12116
Dhankaul,male,12672
Godaita,female,23139
Godaita,male,24548
Haripur,female,18816
Haripur,male,18629
Haripurwa,female,17465
Haripurwa,male,18577
Hariwan,female,22529
Hariwan,male,21395
Ishworpur,female,30343
Ishworpur,male,29657
Kabilasi,female,20545
Kabilasi,male,21791
Kaudena,female,12698
Kaudena,male,13387
Lalbandi,female,30628
Lalbandi,male,29000
Malangawa,female,22704
Malangawa,male,23853
Parsa,female,10423
Parsa,male,11227
Ramnagar,female,13805
Ramnagar,male,14922
Dudhouli,female,34371
Dudhouli,male,31273
Ghanglekh,female,7290
Ghanglekh,male,6471
Golanjor,female,9929
Golanjor,male,9561
Hariharpurgadhi,female,14452
Hariharpurgadhi,male,13275
Kamalamai,female,34139
Kamalamai,male,32252
Marin,female,14540
Marin,male,13282
Phikkal,female,8825
Phikkal,male,8143
Sunkoshi_sindhuli,female,11494
Sunkoshi_sindhuli,male,10475
Tinpatan,female,19029
Tinpatan,male,17391
Barhabise,female,13780
Barhabise,male,13180
Balefi,female,9917
Balefi,male,9167
Bhotekoshi,female,8219
Bhotekoshi,male,8553
Chautara SangachokGadhi,female,25260
Chautara SangachokGadhi,male,21844
Helambu,female,9178
Helambu,male,8786
Indrawati,female,15146
Indrawati,male,13398
Jugal,female,9650
Jugal,male,9581
Lisangkhu Pakhar,female,8032
Lisangkhu Pakhar,male,7112
Melamchi,female,23620
Melamchi,male,21853
Panchpokhari Thangpal,female,10293
Panchpokhari Thangpal,male,10693
Sunkoshi_sindhupalchok,female,9370
Sunkoshi_sindhupalchok,male,7941
Tripurasundari,female,6982
Tripurasundari,male,6243
Arnama,female,11972
Arnama,male,10940
Aurahi_siraha,female,11931
Aurahi_siraha,male,11153
Bariyarpatti,female,12751
Bariyarpatti,male,12562
Bhagawanpur,female,10666
Bhagawanpur,male,10333
Bishnupur_siraha,female,9660
Bishnupur_siraha,male,8883
Dhangadhimai,female,24019
Dhangadhimai,male,23430
Golbazar,female,26743
Golbazar,male,25394
Kalyanpur,female,26247
Kalyanpur,male,23097
Karjanha,female,16244
Karjanha,male,15113
Lahan,female,46275
Lahan,male,45765
Laxmipur Patari,female,14530
Laxmipur Patari,male,13543
Mirchaiya,female,24880
Mirchaiya,male,24251
Naraha,female,10066
Naraha,male,9303
Nawarajpur,female,9704
Nawarajpur,male,9352
Sakhuwa Nankarkatti,female,9696
Sakhuwa Nankarkatti,male,8878
Siraha,female,42827
Siraha,male,40093
Sukhipur,female,19016
Sukhipur,male,18011
Khumbu Pasanglhamu,female,4528
Khumbu Pasanglhamu,male,4605
Likhupike,female,2876
Likhupike,male,2658
Mahakulung,female,5833
Mahakulung,male,5619
Mapya Dudhkoshi,female,6885
Mapya Dudhkoshi,male,6535
Nechasalyan,female,8619
Nechasalyan,male,7530
Solu Dudhkunda,female,10874
Solu Dudhkunda,male,10103
Sotang,female,4830
Sotang,male,4700
Thulung Dudhkoshi,female,10241
Thulung Dudhkoshi,male,9450
Barahakshetra,female,41858
Barahakshetra,male,35746
Barju,female,15452
Barju,male,15728
Bhokraha Narsingh,female,20683
Bhokraha Narsingh,male,19953
Dewangunj,female,17210
Dewangunj,male,18073
Dharan Sub-Metropolitan City,female,73805
Dharan Sub-Metropolitan City,male,67634
Duhabi,female,28110
Duhabi,male,28463
Gadhi,female,17921
Gadhi,male,16931
Harinagar,female,20707
Harinagar,male,20363
Inaruwa,female,32768
Inaruwa,male,31981
Itahari Sub-Metropolitan City,female,74332
Itahari Sub-Metropolitan City,male,69454
Koshi,female,21674
Koshi,male,22313
Koshi Tappu Wildlife Reserve,female,0
Koshi Tappu Wildlife Reserve,male,0
Ramdhuni,female,27738
Ramdhuni,male,27738
Barahatal,female,13825
Barahatal,male,12995
Bheriganga,female,22300
Bheriganga,male,19565
Birendranagar,female,52117
Birendranagar,male,52990
Chaukune,female,13026
Chaukune,male,12214
Chingad,female,8988
Chingad,male,8287
Gurbhakot,female,23940
Gurbhakot,male,20419
Lekbesi,female,16373
Lekbesi,male,15210
Panchapuri,female,16809
Panchapuri,male,15427
Simta,female,14005
Simta,male,12314
Aandhikhola,female,9517
Aandhikhola,male,7078
Arjunchaupari,female,9227
Arjunchaupari,male,6952
Bhirkot,female,14599
Bhirkot,male,10985
Biruwa,female,10368
Biruwa,male,8045
Chapakot,female,14978
Chapakot,male,11123
Galyang,female,21341
Galyang,male,16480
Harinas,female,9879
Harinas,male,7464
Kaligandaki,female,12346
Kaligandaki,male,9478
Phedikhola,female,7082
Phedikhola,male,5259
Putalibazar,female,25299
Putalibazar,male,20211
Waling,female,28679
Waling,male,22758
Aanbukhaireni,female,11283
Aanbukhaireni,male,9557
Bandipur,female,10987
Bandipur,male,9090
Bhanu,female,26134
Bhanu,male,20045
Bhimad,female,18002
Bhimad,male,13360
Byas,female,39162
Byas,male,31889
Devghat,female,8685
Devghat,male,7793
Ghiring,female,11093
Ghiring,male,8225
Myagde,female,12616
Myagde,male,9886
Rishing,female,14730
Rishing,male,11140
Shuklagandaki,female,27186
Shuklagandaki,male,22425
Aathrai Tribeni,female,7370
Aathrai Tribeni,male,6414
Maiwakhola,female,5843
Maiwakhola,male,5251
Marin,female,6756
Marin,male,6528
Mikwakhola,female,4847
Mikwakhola,male,4313
Pathibhara Yangwarak,female,7296
Pathibhara Yangwarak,male,6295
Phaktanglung,female,6137
Phaktanglung,male,5880
Phungling,female,14014
Phungling,male,12612
Sidingwa,female,6322
Sidingwa,male,5777
Sirijangha,female,8324
Sirijangha,male,7482
Aatharai,female,11615
Aatharai,male,10132
Chhathar,female,9036
Chhathar,male,7679
Laligurans,female,9229
Laligurans,male,7771
Menchhayayem,female,4395
Menchhayayem,male,3683
Myanglung,female,10572
Myanglung,male,9765
Phedap,female,9579
Phedap,male,8121
Belaka,female,22784
Belaka,male,19666
Chaudandigadhi,female,26534
Chaudandigadhi,male,22216
Katari,female,29638
Katari,male,26907
Koshi Tappu Wildlife Reserve,female,0
Koshi Tappu Wildlife Reserve,male,0
Rautamai,female,12302
Rautamai,male,11179
Sunkoshi,female,6330
Sunkoshi,male,5662
Tapli,female,7633
Tapli,male,6934
Triyuga,female,46367
Triyuga,male,42600
Udayapurgadhi,female,16232
Udayapurgadhi,male,14548
Bardaghat,female,33343
Bardaghat,male,28332
Palhinandan,female,18118
Palhinandan,male,17311
Pratappur,female,22454
Pratappur,male,22787
Ramgram,female,29278
Ramgram,male,30550
Sarawal,female,19091
Sarawal,male,18327
Sunwal,female,30289
Sunwal,male,26134
Susta,female,18435
Susta,male,17455
Aathbiskot,female,16979
Aathbiskot,male,16645
Banphikot,female,9983
Banphikot,male,8713
Chaurjahari,female,14456
Chaurjahari,male,13127
Musikot,female,17560
Musikot,male,16322
Sanibheri,female,11661
Sanibheri,male,10533
Triveni,female,10565
Triveni,male,8839
