NEIGHBORHOOD,GENDER,POPULATION
Dungeshwor,male,7553
Gurans,female,11358
Gurans,male,10675
Mahabu,female,10344
Mahabu,male,8933
Narayan,female,14410
Narayan,male,13512
Naumule,female,10757
Naumule,male,10045
Thantikandh,female,9507
Thantikandh,male,9389
Babai,female,14940
Babai,male,12529
Bangalachuli,female,13366
Bangalachuli,male,10879
Dangisharan,female,11501
Dangisharan,male,9983
Gadhawa,female,20103
Gadhawa,male,18560
Ghorahi Sub-Metropolitan City,female,83975
Ghorahi Sub-Metropolitan City,male,74653
Lamahi,female,24872
Lamahi,male,23140
Rajpur,female,12786
Rajpur,male,12275
Rapti,female,21308
Rapti,male,19641
Shantinagar,female,13608
Shantinagar,male,11595
Tulsipur Sub-Metropolitan City,female,75065
Tulsipur Sub-Metropolitan City,male,67804
Apihimal,female,3400
Apihimal,male,3379
Duhun,female,5716
Duhun,male,5102
Lekam,female,8084
Lekam,male,6754
Mahakali,female,11107
Mahakali,male,10774
Malikarjun,female,8342
Malikarjun,male,7239
Marma,female,7688
Marma,male,7268
Naugad,female,8250
Naugad,male,7624
Shailyashikhar,female,11600
Shailyashikhar,male,10600
Vyans,female,5482
Vyans,male,4865
Benighat Rorang,female,15815
Benighat Rorang,male,15660
Dhunibesi,female,15832
Dhunibesi,male,15197
Gajuri,female,13773
Gajuri,male,14068
Galchi,female,13334
Galchi,male,12881
Gangajamuna,female,12257
Gangajamuna,male,9527
Jwalamukhi,female,13393
Jwalamukhi,male,10573
Khaniyabash,female,6902
Khaniyabash,male,5847
Netrawati,female,7267
Netrawati,male,5603
Nilakantha,female,32025
Nilakantha,male,26851
Rubi Valley,female,5100
Rubi Valley,male,4462
Siddhalek,female,12764
Siddhalek,male,10965
Thakre,female,16861
Thakre,male,16118
Tripura Sundari,female,12910
Tripura Sundari,male,10082
Chaubise,female,10560
Chaubise,male,8723
Chhathar Jorpati,female,9976
Chhathar Jorpati,male,8346
Dhankuta,female,19597
Dhankuta,male,19032
Mahalaxmi,female,13463
Mahalaxmi,male,11337
Pakhribas,female,12024
Pakhribas,male,10054
Sangurigadhi,female,11447
Sangurigadhi,male,10090
Shahidbhumi,female,9830
Shahidbhumi,male,8933
Aaurahi_dhanusha,female,11247
Aaurahi_dhanusha,male,11331
Bateshwor,female,10381
Bateshwor,male,11149
Bideha,female,16253
Bideha,male,16013
Dhanauji,female,10501
Dhanauji,male,10894
Dhanusadham,female,23503
Dhanusadham,male,22082
Ganeshman Charnath,female,18682
Ganeshman Charnath,male,17656
Hansapur,female,19814
Hansapur,male,18402
Janaknandani,female,13029
Janaknandani,male,12309
Janakpur,female,77923
Janakpur,male,84919
Kamala,female,19893
Kamala,male,18731
Kshireshwornath,female,20652
Kshireshwornath,male,21503
Lakshminiya,female,13831
Lakshminiya,male,14420
Mithila,female,16822
Mithila,male,16734
Mithila Bihari,female,22186
Mithila Bihari,male,23041
Mukhiyapatti Musaharmiya,female,12216
Mukhiyapatti Musaharmiya,male,13266
Nagarain,female,17733
Nagarain,male,17850
Sabaila,female,27299
Sabaila,male,25090
Sahidnagar,female,24274
Sahidnagar,male,23148
Baiteshwor,female,10781
Baiteshwor,male,9095
Bhimeshwor,female,17557
Bhimeshwor,male,15767
Bigu,female,9632
Bigu,male,8960
Gaurishankar,female,8893
Gaurishankar,male,8247
Jiri,female,8502
Jiri,male,7335
Kalinchok,female,12008
Kalinchok,male,10946
Melung,female,11196
Melung,male,9091
Sailung,female,10912
Sailung,male,8786
Tamakoshi,female,10073
Tamakoshi,male,8776
Chharka Tangsong,female,767
Chharka Tangsong,male,684
Dolpobuddha,female,1157
Dolpobuddha,male,980
Jagadulla,female,1181
Jagadulla,male,1141
