PROVINCE,DISTRICT,NEIGHBORHOOD_TYPE,NEIGHBORHOOD,LONGITUDE,LATITUDE
2,SAPTARI,Gaunpalika,Agnisair Krishna Savaran,86.79697476,26.64679022
2,SAPTARI,Gaunpalika,Balan Bihul,86.52205598,26.57120379
2,SAPTARI,Gaunpalika,Bishnupur_saptari,86.72032431,26.51830585
2,SAPTARI,Nagarpalika,Bode Barsain,86.57384742,26.56412779
2,SAPTARI,Gaunpalika,Chhinnamasta,86.73407838,26.46168653
2,SAPTARI,Nagarpalika,Dakneshwori,86.63288194,26.52985657
2,SAPTARI,Nagarpalika,Hanumannagar Kankalini,86.87873605,26.51216117
2,SAPTARI,Nagarpalika,Kanchanrup,86.90071919,26.63580183
2,SAPTARI,Nagarpalika,Khadak,86.60706103,26.64044836
2,SAPTARI,Gaunpalika,Mahadeva,86.81817672,26.5503199
2,SAPTARI,Nagarpalika,Rajbiraj,86.76787635,26.53518237
2,SAPTARI,Gaunpalika,Rupani,86.73214451,26.61234152
2,SAPTARI,Nagarpalika,Saptakoshi,86.9298066,26.71034034
2,SAPTARI,Nagarpalika,Shambhunath,86.6845128,26.63786657
2,SAPTARI,Nagarpalika,Surunga,86.54207881,26.69908882
2,SAPTARI,Gaunpalika,Tilathi Koiladi,86.80856997,26.48917109
2,SAPTARI,Gaunpalika,Tirahut,86.85587529,26.59296921
2,SAPTARI,Wildlife Reserve,Koshi Tappu Wildlife Reserve,86.97319325,26.64166322
2,SIRAHA,Gaunpalika,Arnama,86.2907156,26.69583962
2,SIRAHA,Gaunpalika,Aurahi_siraha,86.30899564,26.64192293
2,SIRAHA,Gaunpalika,Bariyarpatti,86.3694941,26.62993644
2,SIRAHA,Gaunpalika,Bhagawanpur,86.47434667,26.5857883
2,SIRAHA,Gaunpalika,Bishnupur_siraha,86.25367666,26.72857056
2,SIRAHA,Nagarpalika,Dhangadhimai,86.41613798,26.8104064
2,SIRAHA,Nagarpalika,Golbazar,86.34628304,26.81442601
2,SIRAHA,Nagarpalika,Kalyanpur,86.20206123,26.76019729
2,SIRAHA,Nagarpalika,Karjanha,86.18188296,26.86789849
2,SIRAHA,Nagarpalika,Lahan,86.48361907,26.75643908
2,SIRAHA,Gaunpalika,Laxmipur Patari,86.41482662,26.66851083
2,SIRAHA,Nagarpalika,Mirchaiya,86.25996095,26.83500755
2,SIRAHA,Gaunpalika,Naraha,86.28222353,26.77484198
2,SIRAHA,Gaunpalika,Nawarajpur,86.43513941,26.60758988
2,SIRAHA,Gaunpalika,Sakhuwa Nankarkatti,86.47167796,26.6364958
2,SIRAHA,Nagarpalika,Siraha,86.22194173,26.64711883
2,SIRAHA,Nagarpalika,Sukhipur,86.35266792,26.69633115
2,DHANUSHA,Gaunpalika,Aaurahi_dhanusha,86.01808263,26.71148998
2,DHANUSHA,Gaunpalika,Bateshwor,85.92512381,26.88477983
2,DHANUSHA,Nagarpalika,Bideha,86.06276518,26.67865043
2,DHANUSHA,Nagarpalika,Kshireshwornath,85.97574594,26.84623333
2,DHANUSHA,Gaunpalika,Dhanauji,85.98559905,26.67697283
2,DHANUSHA,Nagarpalika,Dhanusadham,86.04546803,26.87390362
2,DHANUSHA,Nagarpalika,Ganeshman Charnath,86.1257232,26.93900048
2,DHANUSHA,Nagarpalika,Hansapur,86.02992117,26.7577143
2,DHANUSHA,Gaunpalika,Janaknandani,86.13613191,26.64430586
2,DHANUSHA,Upamahanagarpalika,Janakpur,85.93668593,26.72541573
2,DHANUSHA,Nagarpalika,Kamala,86.15831191,26.69924593
2,DHANUSHA,Gaunpalika,Lakshminiya,85.9365548,26.79787626
2,DHANUSHA,Nagarpalika,Mithila,85.96714691,26.97876382
2,DHANUSHA,Nagarpalika,Mithila Bihari,86.00346339,26.79716241
2,DHANUSHA,Gaunpalika,Mukhiyapatti Musaharmiya,85.88087429,26.60392545
2,DHANUSHA,Nagarpalika,Nagarain,85.92693012,26.64406158
2,DHANUSHA,Nagarpalika,Sabaila,86.10463416,26.79844619
2,DHANUSHA,Nagarpalika,Sahidnagar,86.10917399,26.73472008
2,MAHOTTARI,Nagarpalika,Aaurahi_mahottari,85.80303993,26.86562276
2,MAHOTTARI,Nagarpalika,Balwa,85.82177743,26.76818618
2,MAHOTTARI,Nagarpalika,Bardibas,85.85764886,27.03573385
2,MAHOTTARI,Nagarpalika,Bhangaha,85.87443974,26.8490838
2,MAHOTTARI,Gaunpalika,Ekdanra,85.76731465,26.68710582
2,MAHOTTARI,Nagarpalika,Gaushala,85.78388937,26.94920972
2,MAHOTTARI,Nagarpalika,Jaleshwor,85.80191794,26.64634846
2,MAHOTTARI,Nagarpalika,Loharpatti,85.86741976,26.76924317
2,MAHOTTARI,Gaunpalika,Mahottari,85.81405962,26.70313791
2,MAHOTTARI,Nagarpalika,Manara Shiswa,85.75567843,26.72441617
2,MAHOTTARI,Nagarpalika,Matihani,85.86219213,26.64246665
2,MAHOTTARI,Gaunpalika,Pipara,85.87075937,26.69409583
2,MAHOTTARI,Nagarpalika,Ramgopalpur,85.78590858,26.80971668
2,MAHOTTARI,Gaunpalika,Samsi,85.75017303,26.8054584
2,MAHOTTARI,Gaunpalika,Sonma,85.72528358,26.86666279
